timestamp,temp_c,util_pct,sm_mhz,mem_mhz,power_w,throttle
2026/06/28 23:21:16.022, 57, 97 %, 3202 MHz, 15598 MHz, 288.66 W, 0x0000000000000000
2026/06/28 23:21:21.082, 56, 95 %, 3187 MHz, 15598 MHz, 286.22 W, 0x0000000000000000
2026/06/28 23:21:26.148, 56, 89 %, 3195 MHz, 15598 MHz, 276.22 W, 0x0000000000000000
2026/06/28 23:21:31.208, 56, 92 %, 3202 MHz, 15598 MHz, 283.47 W, 0x0000000000000000
2026/06/28 23:21:36.280, 56, 97 %, 3202 MHz, 15598 MHz, 285.71 W, 0x0000000000000000
2026/06/28 23:21:41.356, 56, 97 %, 3202 MHz, 15598 MHz, 284.91 W, 0x0000000000000000
2026/06/28 23:21:46.421, 57, 88 %, 3202 MHz, 15598 MHz, 284.99 W, 0x0000000000000000
2026/06/28 23:21:51.480, 56, 98 %, 3202 MHz, 15598 MHz, 273.20 W, 0x0000000000000000
2026/06/28 23:21:56.537, 54, 80 %, 3202 MHz, 15598 MHz, 257.35 W, 0x0000000000000000
2026/06/28 23:22:01.603, 57, 96 %, 3195 MHz, 15598 MHz, 290.21 W, 0x0000000000000000
2026/06/28 23:22:06.667, 57, 88 %, 3195 MHz, 15598 MHz, 273.37 W, 0x0000000000000000
2026/06/28 23:22:11.748, 58, 97 %, 3202 MHz, 15598 MHz, 286.39 W, 0x0000000000000000
2026/06/28 23:22:16.812, 58, 98 %, 3202 MHz, 15598 MHz, 291.21 W, 0x0000000000000000
2026/06/28 23:22:21.867, 58, 98 %, 3202 MHz, 15598 MHz, 294.30 W, 0x0000000000000000
2026/06/28 23:22:26.930, 59, 98 %, 3202 MHz, 15598 MHz, 297.25 W, 0x0000000000000000
2026/06/28 23:22:31.989, 58, 98 %, 3202 MHz, 15598 MHz, 299.16 W, 0x0000000000000000
2026/06/28 23:22:37.047, 59, 98 %, 3202 MHz, 15598 MHz, 299.19 W, 0x0000000000000000
2026/06/28 23:22:42.108, 57, 97 %, 3202 MHz, 15598 MHz, 291.08 W, 0x0000000000000000
2026/06/28 23:22:47.176, 57, 97 %, 3202 MHz, 15598 MHz, 292.20 W, 0x0000000000000000
2026/06/28 23:22:52.257, 57, 95 %, 3202 MHz, 15598 MHz, 277.67 W, 0x0000000000000000
2026/06/28 23:22:57.319, 58, 97 %, 3202 MHz, 15598 MHz, 283.54 W, 0x0000000000000000
2026/06/28 23:23:02.374, 56, 97 %, 3202 MHz, 15598 MHz, 285.97 W, 0x0000000000000000
2026/06/28 23:23:07.431, 54, 97 %, 3202 MHz, 15598 MHz, 292.00 W, 0x0000000000000000
2026/06/28 23:23:12.484, 56, 97 %, 3202 MHz, 15598 MHz, 291.70 W, 0x0000000000000000
2026/06/28 23:23:17.541, 53, 88 %, 3202 MHz, 15598 MHz, 284.41 W, 0x0000000000000000
2026/06/28 23:23:22.596, 55, 95 %, 3202 MHz, 15598 MHz, 291.60 W, 0x0000000000000000
2026/06/28 23:23:27.665, 55, 98 %, 3202 MHz, 15598 MHz, 284.32 W, 0x0000000000000000
2026/06/28 23:23:32.727, 56, 97 %, 3202 MHz, 15598 MHz, 288.25 W, 0x0000000000000000
